BottleID,SampleID,Site,CollectionSampleID,Timepoint,Rep,DateE,Date,TimeET,TimeETFormatted,DateTimeET,TimeGMT,TimeGMTFormatted,DateTimeGMT,SampType,LowTideET0,HighTideET6,RelTide,Collector,Temp1,Temp2,Temp3,TempMean,SalCorrFactor,Sal1,Sal2,Sal3,SalMean,SalCorr,pHCorrFactor,pH1,pH2,pH3,pHmean,pHMeas,pHNBS,pHSW,DateVindtaRun,RecalcSheet,mV,VINDTA_pH,VINDTATemp,origDIC,origAT,corrDIC,DICfromAT,corrAT,ATfromDICpH,PercATdiff,CalcpHNBS,pCO2,HCO3,CO3,CO2,OmegaCalc,OmegaAr,Notes
L18_F_20180605_51_21Jun2018,BARN_20180605_S1,BARN,L18_F_20180605_S1,1,1,20180605,2018-06-05,,,,,NA,NA,Single,,,,,,,,NA,20200316CRM,30.4,30.3,30.4,30.36666667,30.02400333,NA,NA,NA,NA,NA,NA,,NA,6/21/2018,FieldSamples_Recalc_21Jun18,143.6,7.829,25.021,1894.57,2050.52,1915.002198,1918.977817,2054.774893,,-100.0,,,,,,,,should be S1 and not 51 in the bottle id
L18_F_20180605_52_21Jun2018,BARN_20180605_S2,BARN,L18_F_20180605_S2,1,2,20180605,2018-06-05,,,,,NA,NA,Single,,,,,,,,NA,20200316CRM,32.9,32.9,32.9,32.9,32.52719,NA,NA,NA,NA,NA,NA,,NA,6/21/2018,FieldSamples_Recalc_21Jun18,143.35,7.835,25.075001,1895.39,2049.21,1915.831042,1909.43101,2050.250658,,-100.0,,,,,,,,should be S2 and not 52 in the bottle id
L18_F_20180605_BarnS3_12Jul18,BARN_20180605_S3,BARN,L18_F_20180605_BarnS3,1,3,20180605,2018-06-05,,,,,NA,NA,Single,,,,,,,,NA,20190621CRM,25.9,26,25.9,25.93333333,25.62916,NA,NA,NA,NA,NA,NA,,NA,7/12/2018,FieldSamples_Recalc_12Jul18,142.65,7.826,25.072001,1935.63,2055.73,1928.822208,1917.010275,2058.811396,,-100.0,,,,,,,,DIC run separately; odd that there are three samples for this day. 
L18_F_20180618_51-21Jun2018,BARN_20180618_S1,BARN,L18_F_20180618_51,1,1,20180618,2018-06-18,1120,11:20:00,6/18/2018 11:20,1520,15:20:00,2018-06-18 15:20:00,Single,6/18/2018 10:46,6/18/2018 16:01,0.647619048,ADW,22.2,NA,NA,22.2,20190621CRM,29.6,29.6,29.6,29.6,29.39886,20180618pH,-23.3,-23.3,-23.6,-23.4,7.406299213,,,6/21/2018,FieldSamples_Recalc_21Jun18,167.05,7.429,25.054001,1992.74,2032.34,2014.230923,2023.258332,2038.453541,1988.893555,-2.4,7.6,1647.328661,1909.821903,52.76751212,51.64152156,1.317003298,0.849160724,
L18_F_20180618_52_21Jun2018,BARN_20180618_S2,BARN,L18_F_20180618_52,1,2,20180618,2018-06-18,1120,11:20:00,6/18/2018 11:20,1520,15:20:00,2018-06-18 15:20:00,Single,6/18/2018 10:46,6/18/2018 16:01,0.647619048,ADW,22.2,NA,NA,22.2,20190621CRM,29.6,29.6,29.6,29.6,29.39886,20180618pH,-23.3,-23.3,-23.6,-23.4,7.406299213,,,6/21/2018,FieldSamples_Recalc_21Jun18,166.55,7.436,25.066999,1991.91,2028.05,2013.391972,2012.748905,2034.380727,1988.109863,-2.3,7.6,1689.458168,1909.021288,51.40853566,52.9622245,1.283085147,0.827291407,
L18_F_20180618_BARN_03_08Mar19,BARN_20180618_S3,BARN,L18_F_20180618_BARN_03,1,3,20180618,2018-06-18,1120,11:20:00,6/18/2018 11:20,1520,15:20:00,2018-06-18 15:20:00,Single,6/18/2018 10:46,6/18/2018 16:01,0.647619048,ADW,22.2,NA,NA,22.2,20190621CRM,29.6,29.6,29.6,29.6,29.39886,20180618pH,-23.3,-23.3,-23.6,-23.4,7.406299213,,,3/8/2019,FieldSamples_Recalc_08Mar19,179.85,7.405,25.094999,2004.28,2025.18,2008.04732,2012.457441,2025.066798,1982.956177,-2.1,7.6,1739.231787,1903.857341,49.66751996,54.52256003,1.23963183,0.799274127,
L18_F_20180701_Barn_09_04Mar19,BARN_20180701_S9,BARN,L18_F_20180701_Barn_09,1,1,20180701,2018-07-01,,,,,NA,NA,Single,,,,,,,,NA,20190621CRM,28.3,28.3,28.2,28.26666667,28.02806,NA,NA,NA,NA,NA,NA,,NA,3/4/2019,FieldSamples_Recalc_04Mar19,167.6,7.603,24.964001,1836.65,1910.67,1836.22828,1842.451345,1914.267407,,-100.0,,,,,,,,are there BARN samples I am missing since this says 9?
L18_F_20180702_S1_25Jun19,BARN_20180702_S1,BARN,L18_F_20180702_S1,1,1,20180702,2018-07-02,,,,,NA,NA,Single,,,,,,,,NA,20190625CRM,26.8,26.8,26.8,26.8,26.50684,NA,NA,NA,NA,NA,NA,,NA,6/25/2019,FieldSamples_Recalc_25Jun19,186.65,7.126,25.358,1934.48,1908.92,1937.747812,1964.478889,1933.835374,,-100.0,,,,,,,,
L18_F_20180702_S2_25Jun19,BARN_20180702_S2,BARN,L18_F_20180702_S2,1,2,20180702,2018-07-02,,,,,NA,NA,Single,,,,,,,,NA,20190625CRM,26.8,26.8,26.8,26.8,26.50684,NA,NA,NA,NA,NA,NA,,NA,6/25/2019,FieldSamples_Recalc_25Jun19,179.95,7.248,25.402,1936.82,1925.77,1940.091765,1953.312837,1949.600528,,-100.0,,,,,,,,
L18_F_20180702_S1_BARN,BARN_20180702_S1,BARN,L18_F_20180702_S1_BARN,1,3,20180702,2018-07-02,,,,,NA,NA,Single,,,,,,,,NA,20190625CRM,26.5,26.5,26.5,26.5,26.1952,NA,NA,NA,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,
L18_F_20180706_S2_BARN,BARN_20180706_S2,BARN,L18_F_20180706_S2_BARN,1,1,20180706,2018-07-06,,,,,NA,NA,Single,,,,,,,,NA,20190621CRM,27,27,26.9,26.96666667,26.69153,NA,NA,NA,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,
,BARN_20180710_S1,BARN,,1,1,20180710,2018-07-10,,,,,NA,NA,Single,,,,,,,,NA,,,,,,,20180710pH,-8,-7,-7,-7.333333333,6.525714286,,0.125714286,,,,,,,,,,,,,,,,,,,,
L18_F_20180716_BARN_S1_25Jun19,BARN_20180716_S1,BARN,L18_F_20180716_BARN_S1,1,1,20180716,2018-07-16,,,,,NA,NA,Single,,,,,,,,NA,20190625CRM,28.8,28.8,28.8,28.8,28.58444,NA,NA,NA,NA,NA,NA,,NA,6/25/2019,FieldSamples_Recalc_25Jun19,178.05,7.299,24.426001,1940.85,1925.65,1944.128573,1935.409834,1947.253384,,-100.0,,,,,,,,
L18_F_20180716_BARN_S2_25Jun19,BARN_20180716_S2,BARN,L18_F_20180716_BARN_S2,1,2,20180716,2018-07-16,,,,,NA,NA,Single,,,,,,,,NA,20190625CRM,28.5,28.6,28.7,28.6,28.37668,NA,NA,NA,NA,NA,NA,,NA,6/25/2019,FieldSamples_Recalc_25Jun19,177.95,7.292,25.174999,1929.27,1913.27,1932.529011,1929.812077,1934.036846,,-100.0,,,,,,,,
L18_F_20180716_BARN_S3_25Jun19,BARN_20180716_S3,BARN,L18_F_20180716_BARN_S3,1,3,20180716,2018-07-16,,,,,NA,NA,Single,,,,,,,,NA,20190625CRM,28.8,28.8,28.8,28.8,28.58444,NA,NA,NA,NA,NA,NA,,NA,6/25/2019,FieldSamples_Recalc_25Jun19,176.8,7.312,25.278,1925.64,1915.4,1928.892879,1932.355619,1935.608325,,-100.0,,,,,,,,
L18_F_20180801_S1_BARN,BARN_20180801_S1,BARN,L18_F_20180801_S1_BARn,1,1,20180801,2018-08-01,,,,,NA,NA,Single,,,,,,,,NA,20190621CRM,29.1,29.1,29.1,29.1,28.88481,NA,NA,NA,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,
L18_F_20180811_BARN_830am_08Mar19,BARN_20180811_T0830,BARN,L18_F_20180811_BARN_830am,1,1,20180811,2018-08-11,,,,,NA,NA,Single,,,,,,,,NA,20190621CRM,22.6,22.7,22.8,22.7,22.30497,NA,NA,NA,NA,NA,NA,,NA,3/8/2019,FieldSamples_Recalc_08Mar19,182.35,7.33,25.142,1829.13,1813.63,1832.568101,1833.20986,1822.488115,,-100.0,,,,,,,,
L18_F_20180828_31May19,BARN_20180828_,BARN,L18_F_20180828,1,1,20180828,2018-08-28,915,9:15:00,8/28/2018 9:15,1315,13:15:00,2018-08-28 13:15:00,Single,8/28/2018 8:01,8/28/2018 13:31,1.345454545,ADW,24.7,NA,NA,24.7,20190621CRM,29.3,29.4,29.4,29.36666667,29.15897,20180828pHBARN,23.2,23,23.9,23.36666667,6.578260035,,NA,5/31/2019,FieldSamples_Recalc_31May19,170.5,7.453,24.598,1971.81,2001.52,1977.388504,1970.1357,2015.116645,1554.261353,-22.9,7.6,1578.564472,1872.227175,58.75358799,46.40775148,1.477783662,0.958702901,must be a replicate. Is it from BARN? 
